column,use_as_predictor,reason
tortuosity__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
electrode_thickness,True,"Electrode geometry, set during fabrication."
electrode_thickness__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
electrode_thickness__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
electrode_thickness__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
mass_loading,True,"Electrode geometry, set during fabrication."
mass_loading__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
mass_loading__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
mass_loading__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
electrolyte,True,"Test condition, set before measurement (source of h2so4_M)."
electrolyte__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
electrolyte__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
ssa,True,"Textural descriptor from gas sorption, independent of the capacitance test."
ssa__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
ssa__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
ssa__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
scan_rate,True,"CV test condition, chosen by the experimenter."
scan_rate__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
scan_rate__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
scan_rate__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
current_density,True,"GCD test condition, chosen by the experimenter."
current_density__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
current_density__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
current_density__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
gravimetric_capacitance,False,THIS IS THE TARGET.
gravimetric_capacitance__unit,False,Directly attached to the target column (`gravimetric_capacitance`).
gravimetric_capacitance__conf,False,Directly attached to the target column (`gravimetric_capacitance`).
gravimetric_capacitance__src,False,Directly attached to the target column (`gravimetric_capacitance`).
volumetric_capacitance,False,LEAKAGE: C_vol = C_grav x electrode density - a direct algebraic transform of the target.
volumetric_capacitance__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
volumetric_capacitance__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
volumetric_capacitance__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
areal_capacitance,False,LEAKAGE: C_areal = C_grav x mass loading - a direct algebraic transform of the target.
areal_capacitance__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
areal_capacitance__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
areal_capacitance__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
formula_match,False,"Extraction-QA metadata about the LLM parse, not physics."
formula_reasoning,False,Free-text extraction rationale; may quote the capacitance value verbatim.
synthesis_match,False,Extraction-QA metadata.
synthesis_reasoning,False,Free-text extraction rationale; may quote the capacitance value verbatim.
electrolyte_match,False,Extraction-QA metadata.
electrolyte_reasoning,False,Free-text extraction rationale; may quote the capacitance value verbatim.
overall,False,Extraction-QA verdict (constant 'PASS').
overall_reasoning,False,Free-text extraction rationale; may quote the capacitance value verbatim.
